epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.17213559557506644,0.9390337423312883,0.8891650438308716,0.5,1.0,0.0001
2,0.09823318452008663,0.96875,0.31696173548698425,0.8125,0.96875,0.0001
3,0.08311096481133275,0.9727760736196319,0.572229266166687,0.875,1.0,0.0001
4,0.07538750789991003,0.9756518404907976,0.3641428053379059,0.875,1.0,5e-05
5,0.05722058974377857,0.9815950920245399,0.4238968789577484,0.875,1.0,5e-05
6,0.04923375141721196,0.9833205521472392,0.44837844371795654,0.875,1.0,5e-05
7,0.04701709802308194,0.9852377300613497,1.3028724193572998,0.625,0.96875,2.5e-05
8,0.03314479128057651,0.9886886503067485,0.5342777371406555,0.8125,1.0,2.5e-05
9,0.033371175550769995,0.9892638036809815,0.832447350025177,0.75,1.0,2.5e-05
10,0.03199333541860884,0.9881134969325154,1.1053507328033447,0.75,1.0,1.25e-05
11,0.02094232140143225,0.9940567484662577,0.6057767868041992,0.875,0.984375,1.25e-05
12,0.02170229053619015,0.9929064417177914,0.6102295517921448,0.8125,1.0,1.25e-05
13,0.016750621480832985,0.995398773006135,0.5750338435173035,0.75,1.0,6.25e-06
14,0.017884594508292485,0.995398773006135,0.6875777244567871,0.8125,1.0,6.25e-06
15,0.01748849955627386,0.9948236196319018,0.8656726479530334,0.75,1.0,6.25e-06
16,0.015307233736713194,0.9965490797546013,1.054419755935669,0.75,1.0,3.125e-06
17,0.010490357359454174,0.9978911042944786,0.6904863119125366,0.75,1.0,3.125e-06
18,0.011257997919673935,0.9969325153374233,0.7303683161735535,0.75,1.0,3.125e-06
19,0.010478343087551327,0.9971242331288344,0.9380326271057129,0.75,1.0,1.5625e-06
20,0.008997088878135558,0.9975076687116564,0.8638332486152649,0.75,1.0,1.5625e-06
